"Image Name","PID","Session Name","Session#","Mem Usage"
"System Idle Process","0","Services","0","8 K"
"System","4","Services","0","6,628 K"
"Registry","96","Services","0","25,272 K"
"smss.exe","480","Services","0","560 K"
"csrss.exe","696","Services","0","1,928 K"
"wininit.exe","808","Services","0","2,780 K"
"services.exe","884","Services","0","6,940 K"
"lsass.exe","892","Services","0","13,080 K"
"fontdrvhost.exe","1012","Services","0","744 K"
"WUDFHost.exe","1020","Services","0","6,064 K"
"svchost.exe","68","Services","0","892 K"
"svchost.exe","596","Services","0","24,316 K"
"svchost.exe","960","Services","0","11,964 K"
"svchost.exe","1028","Services","0","4,496 K"
"svchost.exe","1316","Services","0","4,612 K"
"svchost.exe","1324","Services","0","4,476 K"
"svchost.exe","1436","Services","0","10,476 K"
"svchost.exe","1576","Services","0","12,756 K"
"svchost.exe","1584","Services","0","2,592 K"
"svchost.exe","1668","Services","0","5,032 K"
"svchost.exe","1688","Services","0","3,468 K"
"QMEmulatorService.exe","1804","Services","0","1,268 K"
"svchost.exe","1828","Services","0","9,320 K"
"svchost.exe","1884","Services","0","5,544 K"
"svchost.exe","1896","Services","0","7,804 K"
"svchost.exe","1972","Services","0","6,140 K"
"svchost.exe","2024","Services","0","5,604 K"
"atiesrxx.exe","2160","Services","0","1,880 K"
"svchost.exe","2220","Services","0","3,096 K"
"svchost.exe","2280","Services","0","85,980 K"
"svchost.exe","2288","Services","0","1,280 K"
"svchost.exe","2304","Services","0","3,420 K"
"Memory Compression","2376","Services","0","605,832 K"
"svchost.exe","2424","Services","0","4,612 K"
"igfxCUIService.exe","2452","Services","0","2,868 K"
"svchost.exe","2492","Services","0","3,612 K"
"svchost.exe","2596","Services","0","8,460 K"
"svchost.exe","2656","Services","0","12,176 K"
"RtkAudioService64.exe","2700","Services","0","3,640 K"
"svchost.exe","2732","Services","0","17,536 K"
"svchost.exe","2804","Services","0","2,320 K"
"svchost.exe","2812","Services","0","4,376 K"
"svchost.exe","2820","Services","0","5,988 K"
"svchost.exe","2948","Services","0","3,624 K"
"svchost.exe","3040","Services","0","7,340 K"
"svchost.exe","1508","Services","0","6,760 K"
"AvastSvc.exe","2092","Services","0","62,792 K"
"wlanext.exe","2516","Services","0","2,900 K"
"conhost.exe","2628","Services","0","1,032 K"
"svchost.exe","3444","Services","0","1,932 K"
"dasHost.exe","3480","Services","0","8,644 K"
"svchost.exe","3544","Services","0","3,352 K"
"spoolsv.exe","3616","Services","0","4,088 K"
"svchost.exe","3736","Services","0","2,468 K"
"svchost.exe","3828","Services","0","23,640 K"
"svchost.exe","3836","Services","0","10,164 K"
"svchost.exe","3844","Services","0","10,984 K"
"svchost.exe","3852","Services","0","33,952 K"
"esif_uf.exe","3860","Services","0","2,940 K"
"NBService.exe","3868","Services","0","1,864 K"
"MotoHelperService.exe","3876","Services","0","4,212 K"
"IoctlSvc.exe","3900","Services","0","772 K"
"ForwardDaemon.exe","3944","Services","0","1,300 K"
"svchost.exe","3968","Services","0","984 K"
"RtkBtManServ.exe","3988","Services","0","2,448 K"
"SecurityHealthService.exe","4016","Services","0","8,216 K"
"SynTPEnhService.exe","4068","Services","0","2,368 K"
"svchost.exe","4084","Services","0","4,792 K"
"svchost.exe","3316","Services","0","1,404 K"
"TeamViewer_Service.exe","3332","Services","0","5,828 K"
"UCService.exe","3360","Services","0","4,660 K"
"Lavasoft.WCAssistant.WinService.exe","3388","Services","0","4,744 K"
"svchost.exe","3424","Services","0","12,860 K"
"WsAppService.exe","1616","Services","0","5,980 K"
"svchost.exe","4212","Services","0","6,156 K"
"svchost.exe","4464","Services","0","1,432 K"
"svchost.exe","4720","Services","0","3,428 K"
"svchost.exe","4860","Services","0","4,296 K"
"svchost.exe","4880","Services","0","4,376 K"
"svchost.exe","5904","Services","0","3,724 K"
"aswidsagent.exe","4796","Services","0","43,288 K"
"svchost.exe","5628","Services","0","18,204 K"
"svchost.exe","3984","Services","0","12,164 K"
"svchost.exe","3468","Services","0","4,852 K"
"svchost.exe","4132","Services","0","2,608 K"
"svchost.exe","7148","Services","0","11,136 K"
"svchost.exe","4852","Services","0","3,216 K"
"svchost.exe","3748","Services","0","10,748 K"
"svchost.exe","7996","Services","0","3,564 K"
"AdaptiveSleepService.exe","7648","Services","0","2,668 K"
"AvastBrowserCrashHandler.exe","9208","Services","0","768 K"
"GoogleCrashHandler.exe","8276","Services","0","144 K"
"sedsvc.exe","8376","Services","0","7,788 K"
"SgrmBroker.exe","8816","Services","0","3,328 K"
"GoogleCrashHandler64.exe","7796","Services","0","116 K"
"SearchIndexer.exe","7612","Services","0","58,764 K"
"AvastBrowserCrashHandler64.exe","2352","Services","0","108 K"
"svchost.exe","4696","Services","0","6,540 K"
"OSPPSVC.EXE","21752","Services","0","9,616 K"
"svchost.exe","30792","Services","0","5,108 K"
"svchost.exe","19820","Services","0","4,092 K"
"svchost.exe","22520","Services","0","2,584 K"
"svchost.exe","5936","Services","0","1,724 K"
"svchost.exe","9920","Services","0","9,212 K"
"svchost.exe","41600","Services","0","2,356 K"
"svchost.exe","2120","Services","0","1,188 K"
"svchost.exe","8304","Services","0","6,612 K"
"csrss.exe","20784","Console","8","5,252 K"
"winlogon.exe","39212","Console","8","7,900 K"
"fontdrvhost.exe","29396","Console","8","8,132 K"
"dwm.exe","36628","Console","8","75,384 K"
"atieclxx.exe","18324","Console","8","8,824 K"
"sedlauncher.exe","18504","Services","0","324 K"
"SynTPEnh.exe","30032","Console","8","20,616 K"
"esif_assist_64.exe","9232","Console","8","4,560 K"
"RAVBg64.exe","8648","Console","8","11,708 K"
"svchost.exe","34208","Services","0","6,392 K"
"svchost.exe","25364","Console","8","23,484 K"
"sihost.exe","28792","Console","8","24,036 K"
"MotoHelperAgent.exe","7836","Console","8","10,564 K"
"taskhostw.exe","37724","Console","8","19,452 K"
"explorer.exe","21200","Console","8","164,068 K"
"igfxEM.exe","27036","Console","8","11,056 K"
"SynTPHelper.exe","18648","Console","8","4,104 K"
"ShellExperienceHost.exe","8916","Console","8","51,116 K"
"SearchUI.exe","41924","Console","8","226,228 K"
"RuntimeBroker.exe","43752","Console","8","19,592 K"
"RuntimeBroker.exe","7620","Console","8","30,272 K"
"SkypeBackgroundHost.exe","27552","Console","8","10,368 K"
"dllhost.exe","8524","Console","8","6,768 K"
"SkypeApp.exe","2644","Console","8","32,560 K"
"ctfmon.exe","2916","Console","8","17,392 K"
"MSASCuiL.exe","45524","Console","8","8,280 K"
"RtkNGUI64.exe","46544","Console","8","12,584 K"
"RuntimeBroker.exe","3528","Console","8","9,892 K"
"AvastUI.exe","10204","Console","8","64,976 K"
"OneDrive.exe","22848","Console","8","46,068 K"
